game,name,score,place,timeout
1108,g9,34,1st,no
1109,g8,27,2nd,no
1109,g9,21,3rd,no
1109,g4,18,4th,no
1110,g8,43,1st,no
1112,g8,27,2nd,no
1112,g6,20,3rd,no
1112,g9,20,3rd,no
1113,g8,44,1st,no
1115,g8,27,2nd,no
1115,g9,24,3rd,no
1115,g6,22,4th,no
1116,g9,38,1st,no
1117,g9,27,1st,no
1117,g8,26,3rd,no
1117,g7,20,4th,no
1118,g9,32,1st,no
1120,g8,27,1st,no
1120,g6,26,3rd,no
1120,g9,21,4th,no
1121,g3,187,1st,no
1122,g3,119,2nd,no
1122,g6,110,3rd,no
1122,g1,71,4th,no
1123,g2,189,1st,no
1124,g6,123,2nd,no
1124,g1,90,3rd,no
1124,g4,6,4th,no
1125,g3,165,1st,no
1126,g1,170,2nd,yes
1126,g7,34,3rd,no
1126,g2,1,4th,no
1127,g2,251,1st,no
1127,g4,128,2nd,no
1127,g1,121,3rd,no
1127,g7,0,4th,no
1128,g3,249,1st,no
1129,g4,104,2nd,no
1129,g2,70,3rd,no
1129,g7,2,4th,no
1130,g6,194,1st,no
1130,g1,126,2nd,no
1130,g2,107,3rd,no
1130,g7,5,4th,no
1131,g3,193,1st,no
1132,g6,165,2nd,no
1132,g2,97,3rd,no
1132,g7,0,4th,no
1133,g4,205,1st,no
1134,g6,163,2nd,no
1134,g2,108,3rd,no
1134,g7,2,4th,no
1135,g3,212,1st,no
1135,g6,175,2nd,no
1135,g4,109,3rd,no
1135,g7,4,4th,no
1136,g2,202,1st,no
1136,g8,129,2nd,no
1136,g3,119,3rd,no
1136,g1,50,4th,no
1137,g8,104,1st,no
1138,g8,109,2nd,no
1138,g1,95,3rd,no
1138,g4,31,4th,no
1139,g3,164,1st,no
1140,g2,152,2nd,no
1140,g6,102,3rd,no
1140,g1,57,4th,no
1141,g8,169,1st,no
1144,g6,120,2nd,no
1144,g2,89,3rd,no
1144,g4,79,4th,no
1145,g8,149,1st,no
1148,g8,188,2nd,no
1148,g2,23,3rd,no
1148,g7,1,4th,no
1149,g4,237,1st,no
1150,g4,83,2nd,no
1150,g2,11,3rd,no
1150,g7,0,4th,no
1151,g7,160,1st,no
1152,g8,175,2nd,no
1152,g1,79,3rd,no
1152,g7,27,4th,no
1153,g6,166,1st,no
1155,g4,181,2nd,no
1155,g6,27,3rd,no
1155,g7,0,4th,no
1156,g2,197,1st,no
1156,g3,133,2nd,no
1156,g9,109,3rd,no
1156,g1,60,4th,no
1157,g2,189,1st,no
1157,g9,138,2nd,no
1157,g4,31,3rd,no
1157,g1,3,4th,no
1158,g3,309,1st,no
1158,g9,154,2nd,no
1158,g4,19,3rd,no
1158,g1,18,4th,no
1159,g3,165,1st,no
1160,g9,119,2nd,no
1160,g1,106,3rd,no
1160,g6,75,4th,no
1161,g3,170,1st,no
1161,g9,135,2nd,no
1161,g1,102,3rd,no
1161,g6,93,4th,no
1162,g2,139,1st,no
1164,g6,122,2nd,no
1164,g9,116,3rd,no
1164,g4,53,4th,no
1165,g3,162,1st,no
1167,g9,127,2nd,no
1167,g1,115,3rd,no
1167,g7,2,4th,no
1168,g3,225,1st,no
1168,g9,163,2nd,no
1168,g2,112,3rd,no
1168,g7,0,4th,no
1169,g9,211,1st,no
1169,g4,129,2nd,no
1169,g1,93,3rd,no
1169,g7,66,4th,no
1170,g4,209,1st,no
1171,g9,138,2nd,no
1171,g4,92,3rd,no
1171,g7,0,4th,no
1172,g9,204,1st,no
1173,g2,144,2nd,no
1173,g6,70,3rd,no
1173,g7,1,4th,no
1174,g3,264,1st,no
1174,g9,162,2nd,no
1174,g6,73,3rd,no
1174,g7,1,4th,no
1175,g4,163,1st,no
1176,g9,139,2nd,no
1176,g2,72,3rd,no
1176,g1,69,4th,no
1177,g3,162,1st,no
1177,g8,133,2nd,no
1177,g9,106,3rd,no
1177,g1,98,4th,no
1178,g2,153,1st,no
1180,g9,119,2nd,no
1180,g8,109,3rd,no
1180,g4,40,4th,no
1181,g3,156,1st,no
1183,g8,140,2nd,no
1183,g6,83,3rd,no
1183,g9,78,4th,no
1184,g3,155,1st,no
1187,g9,198,2nd,no
1187,g2,35,3rd,no
1187,g7,0,4th,no
1188,g3,196,1st,no
1190,g9,225,2nd,no
1190,g6,35,3rd,no
1190,g7,0,4th,no
1191,g3,225,1st,no
1191,g1,147,2nd,no
1191,g2,74,3rd,no
1191,g4,53,4th,no
1192,g1,189,1st,no
1192,g3,135,2nd,yes
1192,g6,110,3rd,no
1192,g2,0,4th,no
1193,g2,185,1st,no
1195,g4,74,2nd,no
1195,g6,73,3rd,no
1195,g2,29,4th,no
1196,g3,283,1st,no
1196,g1,196,2nd,yes
1196,g2,20,3rd,no
1196,g7,0,4th,no
1197,g2,195,1st,no
1197,g1,168,2nd,no
1197,g4,136,3rd,no
1197,g7,0,4th,no
1198,g1,167,1st,no
1199,g4,128,2nd,no
1199,g7,28,3rd,no
1199,g2,1,4th,no
1200,g1,149,1st,no
1202,g6,137,2nd,no
1202,g2,80,3rd,no
1202,g7,2,4th,no
1203,g1,166,1st,no
1205,g6,127,2nd,no
1205,g4,121,3rd,no
1205,g7,7,4th,no
1206,g3,194,1st,no
1208,g1,157,2nd,no
1208,g8,56,3rd,no
1208,g4,38,4th,no
1209,g3,225,1st,no
1209,g2,129,2nd,no
1209,g8,85,3rd,no
1209,g4,60,4th,no
1210,g2,142,1st,no
1212,g6,138,2nd,no
1212,g8,120,3rd,no
1212,g2,45,4th,no
1213,g1,150,1st,no
1214,g2,120,2nd,no
1214,g6,94,3rd,no
1214,g4,85,4th,no
1215,g3,164,1st,no
1215,g6,122,2nd,no
1215,g8,112,3rd,no
1215,g4,101,4th,no
1216,g8,146,1st,no
1216,g1,104,2nd,no
1216,g7,41,3rd,no
1216,g2,37,4th,no
1217,g3,211,1st,no
1217,g1,158,2nd,no
1217,g8,125,3rd,no
1217,g7,5,4th,no
1218,g7,172,1st,yes
1218,g8,164,2nd,no
1218,g3,135,3rd,no
1218,g2,28,4th,no
1219,g7,167,1st,no
1221,g8,141,2nd,no
1221,g4,88,3rd,no
1221,g7,4,4th,no
1222,g8,140,1st,no
1222,g6,139,2nd,no
1222,g1,129,3rd,no
1222,g7,91,4th,no
1223,g7,133,1st,no
1224,g6,136,2nd,no
1224,g3,110,3rd,no
1224,g7,62,4th,no
1225,g8,192,1st,no
1225,g4,128,2nd,no
1225,g6,124,3rd,no
1225,g7,55,4th,no
1226,g3,165,1st,no
1227,g9,160,2nd,no
1227,g1,109,3rd,no
1227,g4,44,4th,no
1228,g9,168,1st,no
1229,g9,176,2nd,no
1229,g2,82,3rd,no
1229,g4,33,4th,no
1230,g2,151,1st,no
1231,g6,122,2nd,no
1231,g9,111,3rd,no
1231,g1,79,4th,no
1232,g6,135,1st,yes
1233,g1,146,2nd,no
1233,g6,113,3rd,no
1233,g4,63,4th,no
1234,g9,170,1st,no
1237,g9,160,2nd,no
1237,g1,138,3rd,no
1237,g7,2,4th,no
1238,g3,188,1st,yes
1241,g9,170,2nd,no
1241,g4,84,3rd,no
1241,g7,1,4th,no
1242,g9,172,1st,no
1243,g7,126,2nd,no
1243,g9,105,3rd,no
1243,g6,84,4th,no
1244,g9,134,1st,no
1245,g9,118,2nd,no
1245,g6,113,3rd,no
1245,g7,76,4th,no
1246,g8,151,1st,no
1246,g1,146,2nd,no
1246,g9,117,3rd,no
1246,g2,86,4th,no
1247,g3,141,1st,no
1249,g8,146,2nd,no
1249,g1,89,3rd,no
1249,g4,60,4th,no
1250,g8,178,1st,no
1251,g8,126,2nd,no
1251,g9,116,3rd,no
1251,g4,77,4th,no
1252,g6,136,1st,no
1253,g2,120,2nd,no
1253,g6,107,3rd,no
1253,g9,105,4th,no
1254,g6,140,1st,no
1257,g8,146,2nd,no
1257,g9,93,3rd,no
1257,g7,1,4th,no
1258,g3,159,1st,no
1258,g8,150,2nd,no
1258,g9,119,3rd,no
1258,g7,71,4th,no
1259,g4,137,1st,no
1260,g6,129,2nd,no
1260,g9,115,3rd,no
1260,g7,109,4th,no
2101,g3,6,1st,no
2242,g3,27,2nd,no
2242,g6,27,2nd,no
2242,g2,16,4th,no
2243,g2,51,1st,no
2243,g1,29,2nd,no
2243,g6,20,3rd,no
2243,g4,1,4th,no
2244,g3,56,1st,no
2245,g4,26,2nd,no
2245,g2,23,3rd,no
2245,g6,21,4th,no
2246,g3,49,1st,no
2248,g1,36,2nd,no
2248,g7,12,3rd,no
2248,g4,10,4th,no
2249,g3,61,1st,no
2250,g6,35,2nd,no
2250,g1,29,3rd,no
2250,g7,0,4th,no
2251,g3,43,1st,no
2251,g1,30,2nd,no
2251,g6,28,3rd,no
2251,g7,0,4th,no
2252,g3,53,1st,no
2253,g6,38,2nd,no
2253,g4,20,3rd,no
2253,g7,1,4th,no
2254,g2,45,1st,no
2256,g8,37,1st,no
2256,g3,19,3rd,no
2256,g1,8,4th,no
2257,g2,49,1st,no
2260,g8,28,2nd,no
2260,g1,21,3rd,no
2260,g6,20,4th,no
2261,g3,38,1st,no
2262,g2,25,2nd,no
2262,g8,25,2nd,no
2262,g3,23,4th,no
2263,g8,45,1st,no
2265,g3,30,2nd,no
2265,g6,19,3rd,no
2265,g4,16,4th,no
2266,g2,44,1st,no
2266,g8,32,2nd,no
2266,g1,14,3rd,no
2266,g7,11,4th,no
2267,g3,49,1st,no
2269,g4,33,2nd,no
2269,g1,25,3rd,no
2269,g7,3,4th,no
2270,g8,45,1st,no
2272,g6,36,2nd,no
2272,g7,14,3rd,no
2272,g1,11,4th,no
2273,g8,42,1st,no
2273,g6,35,2nd,no
2273,g2,23,3rd,no
2273,g7,1,4th,no
2274,g8,55,1st,no
2274,g6,26,2nd,no
2274,g3,16,3rd,no
2274,g7,4,4th,no
2275,g4,57,1st,no
2276,g3,27,2nd,no
2276,g1,19,3rd,no
2276,g9,15,4th,no
2277,g2,57,1st,no
2281,g3,27,2nd,no
2281,g9,26,3rd,no
2281,g1,19,4th,no
2282,g2,34,1st,no
2282,g3,23,2nd,no
2282,g9,23,2nd,no
2282,g6,21,4th,no
2283,g9,38,1st,no
2285,g9,32,2nd,no
2285,g3,18,3rd,no
2285,g4,18,3rd,no
2286,g2,51,1st,no
2289,g9,34,1st,no
2289,g1,32,3rd,no
2289,g7,0,4th,no
2290,g2,37,1st,no
2290,g9,24,2nd,no
2290,g4,20,3rd,no
2290,g7,20,3rd,no
2291,g3,44,1st,no
2294,g9,32,1st,no
2294,g6,24,3rd,no
2294,g7,13,4th,no
2295,g4,44,1st,no
2298,g2,27,2nd,no
2298,g3,26,3rd,no
2298,g9,18,4th,no
2299,g4,31,1st,no
2299,g8,27,2nd,no
2299,g1,22,3rd,no
2299,g9,20,4th,no
2300,g2,41,1st,no
2301,g8,28,2nd,no
2301,g4,22,3rd,no
2301,g9,18,4th,no
2302,g8,48,1st,no
2304,g9,27,2nd,no
2304,g3,22,3rd,no
2304,g6,22,3rd,no
2305,g8,39,1st,no
2305,g4,27,2nd,no
2305,g6,25,3rd,no
2305,g9,10,4th,no
2306,g1,42,1st,no
2306,g8,40,2nd,no
2306,g9,18,3rd,no
2306,g7,0,4th,no
2307,g8,45,1st,no
2307,g2,35,2nd,no
2307,g9,20,3rd,no
2307,g7,0,4th,no
2308,g3,52,1st,no
2310,g6,24,2nd,no
2310,g9,23,3rd,no
2310,g7,19,4th,no
2311,g1,38,1st,no
2312,g6,27,2nd,no
2312,g3,22,3rd,no
2312,g2,19,4th,no
2313,g1,45,1st,no
2314,g1,35,2nd,no
2314,g6,15,3rd,no
2314,g4,6,4th,no
2315,g3,67,1st,no
2316,g2,31,2nd,no
2316,g1,29,3rd,no
2316,g7,0,4th,no
2317,g2,46,1st,no
2320,g2,28,2nd,no
2320,g6,25,3rd,no
2320,g7,16,4th,no
2321,g3,48,1st,no
2322,g7,32,1st,no
2322,g6,21,3rd,no
2322,g2,16,4th,no
2323,g1,42,1st,no
2324,g7,26,2nd,no
2324,g6,23,3rd,no
2324,g4,19,4th,no
2325,g3,58,1st,no
2328,g1,35,2nd,no
2328,g8,17,3rd,no
2328,g4,11,4th,no
2329,g3,48,1st,no
2330,g1,27,2nd,no
2330,g6,23,3rd,no
2330,g8,23,3rd,no
2331,g6,32,1st,no
2331,g1,26,2nd,no
2331,g3,23,3rd,no
2331,g8,20,4th,no
2332,g6,38,1st,no
2333,g8,32,2nd,no
2333,g6,17,3rd,no
2333,g4,16,4th,no
2334,g2,37,1st,no
2335,g6,26,1st,no
2335,g4,24,3rd,no
2335,g8,24,3rd,no
2336,g1,35,1st,no
2337,g8,28,2nd,no
2337,g1,24,3rd,no
2337,g7,18,4th,no
2338,g7,32,1st,no
2338,g3,25,2nd,no
2338,g2,23,3rd,no
2338,g8,20,4th,no
2339,g4,41,1st,no
2340,g2,31,2nd,no
2340,g7,17,3rd,no
2340,g4,13,4th,no
2341,g3,50,1st,no
2343,g7,30,1st,no
2343,g6,26,3rd,no
2343,g8,15,4th,no
2344,g6,31,1st,no
2346,g2,24,2nd,no
2346,g1,23,3rd,no
2346,g9,23,3rd,no
2347,g1,35,1st,no
2347,g2,35,1st,no
2347,g9,28,3rd,no
2347,g4,2,4th,no
2348,g3,54,1st,no
2349,g9,33,2nd,no
2349,g2,27,3rd,no
2349,g4,7,4th,no
2350,g1,45,1st,no
2351,g9,29,2nd,no
2351,g1,21,3rd,no
2351,g6,20,4th,no
2352,g9,34,1st,no
2352,g6,26,2nd,no
2352,g3,23,3rd,no
2352,g2,18,4th,no
2353,g1,36,1st,no
2353,g9,29,2nd,no
2353,g6,20,3rd,no
2353,g4,15,4th,no
2354,g2,40,1st,no
2355,g9,28,2nd,no
2355,g4,26,3rd,no
2355,g6,17,4th,no
2356,g1,34,1st,no
2357,g3,28,2nd,no
2357,g9,25,3rd,no
2357,g7,17,4th,no
2358,g3,32,1st,no
2358,g2,25,2nd,no
2358,g9,22,3rd,no
2358,g7,21,4th,no
2359,g1,39,1st,no
2360,g9,30,1st,no
2360,g4,29,3rd,no
2360,g7,11,4th,no
2361,g3,45,1st,no
2363,g7,25,2nd,no
2363,g6,22,3rd,no
2363,g9,22,3rd,no
2364,g3,39,1st,no
2365,g7,26,2nd,no
2365,g4,24,3rd,no
2365,g6,22,4th,no
2366,g1,38,1st,no
2367,g3,28,2nd,no
2367,g9,24,3rd,no
2367,g1,18,4th,no
2368,g3,33,1st,no
2368,g9,28,2nd,no
2368,g8,26,3rd,no
2368,g2,14,4th,no
2369,g8,43,1st,no
2372,g8,27,2nd,no
2372,g6,25,3rd,no
2372,g9,20,4th,no
2373,g8,30,1st,no
2375,g6,30,1st,no
2375,g8,22,3rd,no
2375,g9,18,4th,no
2376,g8,35,1st,no
2376,g9,32,2nd,no
2376,g1,24,3rd,no
2376,g7,9,4th,no
2377,g2,37,1st,no
2380,g9,27,2nd,no
2380,g6,26,3rd,no
2380,g7,20,4th,no
2381,g3,210,1st,no
2381,g1,136,2nd,no
2381,g2,134,3rd,no
2381,g4,19,4th,no
2382,g2,208,1st,no
2382,g3,135,2nd,no
2382,g6,122,3rd,no
2382,g1,35,4th,no
2383,g2,204,1st,no
2384,g6,146,2nd,no
2384,g1,122,3rd,no
2384,g4,18,4th,no
2385,g3,159,1st,no
2386,g1,131,2nd,no
2386,g2,41,3rd,no
2386,g7,0,4th,no
2387,g2,182,1st,no
2389,g4,173,2nd,no
2389,g2,22,3rd,no
2389,g7,2,4th,no
2390,g6,192,1st,no
2390,g1,106,2nd,no
2390,g2,13,3rd,no
2390,g7,2,4th,no
2391,g3,196,1st,no
2392,g6,163,2nd,no
2392,g2,40,3rd,no
2392,g7,2,4th,no
2393,g6,244,1st,no
2393,g1,135,2nd,no
2393,g4,118,3rd,no
2393,g7,3,4th,no
2394,g6,197,1st,no
2395,g6,164,2nd,no
2395,g4,79,3rd,no
2395,g7,1,4th,no
2396,g2,203,1st,no
2396,g8,112,2nd,no
