game,name,score,place,timeout
10,g2,2,4th,no
10,g6,6,1st,no
10,g7,6,1st,no
13,g1,4,3rd,no
14,g4,6,1st,no
14,g6,3,4th,no
14,g7,5,2nd,no
15,g3,3,4th,no
17,g2,5,1st,no
17,g4,5,1st,no
17,g8,5,1st,no
20,g1,1,4th,no
24,g4,1,4th,no
24,g6,5,3rd,no
24,g8,8,1st,no
25,g3,4,3rd,no
25,g4,3,4th,no
25,g6,5,2nd,no
25,g8,7,1st,no
26,g1,5,2nd,no
26,g2,4,3rd,no
26,g7,4,3rd,no
26,g8,6,1st,no
29,g1,5,2nd,no
30,g4,0,4th,no
30,g7,5,3rd,no
30,g8,7,1st,no
31,g3,4,4th,no
31,g4,5,2nd,no
31,g7,5,2nd,no
31,g8,6,1st,no
32,g1,4,3rd,no
32,g6,4,3rd,no
32,g7,6,1st,no
32,g8,5,2nd,no
33,g2,5,2nd,no
33,g6,3,4th,no
33,g7,5,2nd,no
33,g8,6,1st,no
34,g3,4,3rd,no
34,g6,6,1st,no
34,g7,5,2nd,no
34,g8,4,3rd,no
35,g4,4,3rd,no
35,g6,4,3rd,no
35,g7,5,2nd,no
35,g8,7,1st,no
37,g1,1,4th,no
40,g2,4,3rd,no
40,g6,5,2nd,no
40,g9,4,3rd,no
43,g1,5,2nd,no
43,g4,3,4th,no
43,g6,5,2nd,no
43,g9,6,1st,no
44,g2,3,4th,no
44,g4,6,1st,no
44,g6,6,1st,no
44,g9,4,3rd,no
45,g3,2,4th,no
45,g4,4,3rd,no
45,g6,6,2nd,no
45,g9,7,1st,no
46,g1,3,4th,no
49,g4,3,4th,no
49,g7,5,2nd,no
49,g9,4,3rd,no
50,g2,4,3rd,no
51,g4,3,4th,no
51,g7,5,2nd,no
51,g9,5,2nd,no
52,g1,6,1st,no
52,g6,5,2nd,no
52,g7,4,3rd,no
52,g9,4,3rd,no
53,g2,1,4th,no
54,g6,2,4th,no
54,g7,4,3rd,no
54,g9,6,2nd,no
55,g4,6,1st,no
55,g6,2,4th,no
55,g7,6,1st,no
55,g9,5,3rd,no
56,g1,3,3rd,no
56,g2,1,4th,no
56,g8,7,2nd,no
56,g9,8,1st,no
59,g1,4,3rd,no
59,g4,7,1st,no
59,g8,5,2nd,no
59,g9,4,3rd,no
60,g2,3,3rd,no
61,g4,3,4th,no
61,g8,5,2nd,no
61,g9,7,1st,no
62,g1,1,4th,no
63,g6,4,3rd,no
63,g8,5,2nd,no
63,g9,7,1st,no
64,g3,4,3rd,no
64,g6,4,3rd,no
64,g8,5,2nd,no
64,g9,6,1st,no
65,g4,5,1st,no
65,g6,5,1st,no
65,g8,5,1st,no
65,g9,5,1st,no
66,g1,3,4th,no
66,g7,6,1st,no
66,g8,5,2nd,no
66,g9,5,2nd,no
67,g2,4,3rd,no
67,g7,8,1st,no
67,g8,5,2nd,no
67,g9,3,4th,no
68,g3,3,4th,no
68,g7,8,1st,no
68,g8,4,2nd,no
68,g9,4,2nd,no
69,g4,3,4th,no
69,g7,4,3rd,no
69,g8,6,1st,no
69,g9,6,1st,no
70,g6,1,4th,no
77,g2,5,1st,no
77,g4,5,1st,no
77,g7,5,1st,no
80,g1,4,3rd,no
80,g2,2,4th,no
80,g6,5,2nd,no
80,g7,8,1st,no
83,g1,4,3rd,no
83,g4,6,2nd,no
83,g6,1,4th,no
83,g7,8,1st,no
84,g2,2,4th,no
87,g2,7,1st,no
87,g4,4,3rd,no
87,g8,2,4th,no
90,g1,6,1st,no
90,g2,5,2nd,no
90,g6,4,4th,no
90,g8,5,2nd,no
93,g1,6,1st,no
93,g4,5,2nd,no
93,g6,3,4th,no
93,g8,5,2nd,no
94,g2,4,4th,no
95,g4,6,1st,no
95,g6,4,3rd,no
95,g8,4,3rd,no
96,g1,4,3rd,no
96,g2,5,2nd,no
96,g7,6,1st,no
96,g8,4,3rd,no
99,g1,4,3rd,no
99,g4,6,1st,no
99,g7,6,1st,no
99,g8,3,4th,no
100,g2,4,3rd,no
101,g4,1,4th,no
101,g7,7,2nd,no
101,g8,2,3rd,no
102,g1,3,4th,no
102,g6,5,2nd,no
102,g7,6,1st,no
102,g8,5,2nd,no
103,g2,2,4th,no
104,g6,3,4th,no
104,g7,6,1st,no
104,g8,5,2nd,no
105,g4,3,4th,no
107,g2,4,3rd,no
107,g4,3,4th,no
107,g9,6,1st,no
110,g1,4,2nd,no
110,g2,3,4th,no
110,g6,4,2nd,no
110,g9,8,1st,no
113,g1,2,3rd,no
114,g4,2,4th,no
114,g6,5,2nd,no
114,g9,7,1st,no
115,g3,4,2nd,no
116,g2,4,3rd,no
116,g7,5,2nd,no
116,g9,4,3rd,no
119,g1,3,4th,no
119,g4,4,3rd,no
119,g7,6,1st,no
119,g9,6,1st,no
120,g2,3,3rd,no
121,g4,1,4th,no
121,g7,6,2nd,no
121,g9,6,2nd,no
122,g1,5,2nd,no
122,g6,4,3rd,no
122,g7,6,1st,no
122,g9,4,3rd,no
123,g2,1,4th,no
124,g6,2,4th,no
124,g7,5,2nd,no
124,g9,4,3rd,no
125,g4,2,4th,no
125,g6,3,3rd,no
125,g7,8,1st,no
125,g9,6,2nd,no
126,g1,3,4th,no
129,g4,2,4th,no
129,g8,5,3rd,no
129,g9,6,1st,no
130,g2,4,3rd,no
130,g4,2,4th,no
130,g8,6,2nd,no
130,g9,7,1st,no
131,g3,4,3rd,no
132,g6,3,4th,no
132,g8,4,3rd,no
132,g9,6,2nd,no
133,g2,6,2nd,no
133,g6,2,4th,no
133,g8,4,3rd,no
133,g9,7,1st,no
134,g3,6,2nd,no
134,g6,2,4th,no
134,g8,3,3rd,no
134,g9,8,1st,no
135,g4,3,3rd,no
136,g7,8,1st,no
136,g8,3,4th,no
136,g9,4,2nd,no
137,g2,1,4th,no
138,g7,6,2nd,no
138,g8,2,4th,no
138,g9,7,1st,no
139,g4,2,4th,no
139,g7,5,2nd,no
139,g8,7,1st,no
139,g9,5,2nd,no
140,g6,1,4th,no
1263,g2,3,4th,no
1263,g4,4,3rd,no
1263,g6,8,1st,no
1267,g1,4,3rd,no
1267,g2,3,4th,no
1267,g4,5,2nd,no
1267,g7,7,1st,no
1270,g1,2,4th,no
1274,g4,4,3rd,no
1274,g6,6,2nd,no
1274,g7,3,4th,no
1275,g3,5,1st,no
1275,g4,5,1st,no
1275,g6,5,1st,no
1275,g7,5,1st,no
1277,g1,2,4th,no
1280,g2,6,1st,no
1280,g6,5,2nd,no
1280,g8,4,3rd,no
1283,g1,4,3rd,no
1284,g4,5,2nd,no
1284,g6,6,1st,no
1284,g8,4,4th,no
1285,g3,2,4th,no
1286,g2,3,4th,no
1286,g7,6,1st,no
1286,g8,6,1st,no
1289,g1,4,3rd,no
1290,g4,5,2nd,no
1290,g7,5,2nd,no
1290,g8,3,4th,no
1291,g3,7,1st,no
1291,g4,4,3rd,no
1291,g7,5,2nd,no
1291,g8,3,4th,no
1292,g1,6,1st,no
1292,g6,6,1st,no
1292,g7,6,1st,no
1292,g8,2,4th,no
1293,g2,3,4th,no
1294,g6,4,2nd,no
1294,g7,4,2nd,no
1294,g8,4,2nd,no
1295,g4,6,1st,no
1295,g6,4,3rd,no
1295,g7,5,2nd,no
1295,g8,4,3rd,no
1297,g1,4,3rd,no
1297,g2,6,1st,no
1297,g4,4,3rd,no
1297,g9,5,2nd,no
1300,g1,3,3rd,no
1303,g4,6,1st,no
1303,g6,4,3rd,no
1303,g9,4,3rd,no
1304,g2,3,4th,no
1305,g4,3,4th,no
1305,g6,5,2nd,no
1305,g9,6,1st,no
1306,g1,1,4th,no
1309,g4,2,4th,no
1309,g7,5,2nd,no
1309,g9,5,2nd,no
1310,g2,5,1st,no
1310,g4,4,4th,no
1310,g7,5,1st,no
1310,g9,5,1st,no
1311,g3,2,4th,no
1311,g4,4,3rd,no
1311,g7,7,1st,no
1311,g9,6,2nd,no
1312,g1,3,4th,no
1312,g6,5,2nd,no
1312,g7,5,2nd,no
1312,g9,6,1st,no
1313,g2,2,4th,no
1313,g6,6,2nd,no
1313,g7,7,1st,no
1313,g9,4,3rd,no
1314,g3,2,4th,no
1315,g6,4,2nd,no
1315,g7,4,2nd,no
1315,g9,4,2nd,no
1316,g1,4,3rd,no
1316,g2,4,3rd,no
1316,g8,6,1st,no
1316,g9,6,1st,no
1319,g1,1,4th,no
1319,g4,5,2nd,no
1319,g8,9,1st,no
1319,g9,4,3rd,no
1320,g2,2,4th,no
1321,g4,6,1st,no
1321,g8,5,2nd,no
1321,g9,3,4th,no
1322,g1,3,4th,no
1322,g6,7,1st,no
1322,g8,5,2nd,no
1322,g9,5,2nd,no
1323,g2,1,4th,no
1323,g6,6,2nd,no
1323,g8,5,3rd,no
1323,g9,7,1st,no
1324,g3,2,4th,no
1325,g6,5,2nd,no
1325,g8,4,4th,no
1325,g9,5,2nd,no
1326,g1,2,4th,no
1326,g7,6,1st,no
1326,g8,6,1st,no
1326,g9,5,3rd,no
1327,g2,3,4th,no
1328,g7,5,2nd,no
1328,g8,5,2nd,no
1328,g9,3,4th,no
1329,g4,2,4th,no
1330,g7,4,3rd,no
1330,g8,5,2nd,no
1330,g9,6,1st,no
1333,g1,5,2nd,no
1333,g2,6,1st,no
1333,g4,5,2nd,no
1333,g6,4,4th,no
1337,g1,3,3rd,no
