game,name,score,place,timeout
518,g2,3,3rd,no
519,g4,3,3rd,no
519,g7,3,3rd,no
519,g8,6,2nd,no
520,g2,4,2nd,no
521,g4,4,3rd,no
521,g7,5,2nd,no
521,g8,4,3rd,no
522,g1,4,3rd,no
523,g6,4,3rd,no
523,g7,4,3rd,no
523,g8,6,1st,no
524,g3,3,3rd,no
524,g6,3,3rd,no
524,g7,5,2nd,no
524,g8,8,1st,no
525,g4,4,3rd,no
526,g2,6,2nd,no
526,g3,2,4th,no
526,g9,7,1st,no
527,g1,2,4th,no
529,g3,5,2nd,no
529,g4,2,4th,no
529,g9,5,2nd,no
530,g1,6,2nd,no
530,g2,7,1st,no
530,g6,3,3rd,no
530,g9,3,3rd,no
531,g1,3,4th,no
532,g3,3,4th,no
532,g6,6,1st,no
532,g9,4,3rd,no
533,g1,6,2nd,no
533,g4,2,4th,no
533,g6,5,3rd,no
533,g9,7,1st,no
534,g2,6,2nd,no
534,g4,3,4th,no
534,g6,4,3rd,no
534,g9,7,1st,no
535,g3,4,2nd,no
536,g2,5,2nd,no
536,g7,6,1st,no
536,g9,4,4th,no
537,g1,5,2nd,no
538,g3,3,4th,no
538,g7,6,1st,no
538,g9,4,3rd,no
539,g1,3,3rd,no
540,g4,2,4th,no
540,g7,8,1st,no
540,g9,4,3rd,no
541,g3,4,3rd,no
543,g6,4,3rd,no
543,g7,5,2nd,no
543,g9,4,3rd,no
544,g3,6,1st,no
544,g6,5,2nd,no
544,g7,4,4th,no
544,g9,5,2nd,no
545,g4,4,2nd,no
545,g6,3,4th,no
545,g7,8,1st,no
545,g9,4,2nd,no
546,g1,2,4th,no
548,g3,4,2nd,no
548,g8,4,2nd,no
548,g9,4,2nd,no
549,g1,4,2nd,no
549,g4,2,4th,no
549,g8,10,1st,no
549,g9,3,3rd,no
550,g2,3,4th,no
551,g4,2,4th,no
551,g8,7,1st,no
551,g9,5,2nd,no
552,g1,6,2nd,no
552,g6,2,4th,no
552,g8,8,1st,no
552,g9,4,3rd,no
553,g2,3,3rd,no
554,g6,3,4th,no
554,g8,7,1st,no
554,g9,4,3rd,no
555,g4,5,2nd,no
555,g6,2,4th,no
555,g8,5,2nd,no
555,g9,8,1st,no
556,g1,3,4th,no
556,g7,5,2nd,no
556,g8,7,1st,no
556,g9,4,3rd,no
557,g2,2,4th,no
557,g7,7,1st,no
557,g8,6,2nd,no
557,g9,5,3rd,no
558,g3,2,4th,no
558,g7,7,1st,no
558,g8,7,1st,no
558,g9,3,3rd,no
559,g4,2,4th,no
1681,g2,3,3rd,no
1681,g3,4,2nd,no
1681,g4,3,3rd,no
1682,g1,7,1st,no
1682,g2,2,4th,no
1682,g3,7,1st,no
1682,g6,4,3rd,no
1683,g1,4,2nd,no
1684,g3,5,2nd,no
1684,g4,5,2nd,no
1684,g6,3,4th,no
1685,g2,3,4th,no
1686,g2,3,4th,no
1686,g3,4,3rd,no
1686,g7,6,1st,no
1687,g1,4,3rd,no
1687,g2,6,2nd,no
1687,g4,3,4th,no
1687,g7,7,1st,no
1688,g1,0,4th,no
1690,g2,2,4th,no
1690,g6,7,1st,no
1690,g7,5,2nd,no
1691,g1,4,3rd,no
1691,g3,8,1st,no
1691,g6,5,2nd,no
1691,g7,3,4th,no
1692,g2,4,3rd,no
1693,g4,5,3rd,no
1693,g6,6,1st,no
1693,g7,3,4th,no
1694,g2,4,4th,no
1695,g4,7,1st,no
1695,g6,4,3rd,no
1695,g7,2,4th,no
1696,g1,5,2nd,no
1696,g2,2,4th,no
1696,g3,7,1st,no
1696,g8,5,2nd,no
1697,g1,3,4th,no
1698,g3,4,2nd,no
1698,g4,4,2nd,no
1698,g8,4,2nd,no
1699,g2,2,4th,no
1700,g2,4,4th,no
1700,g6,5,2nd,no
1700,g8,5,2nd,no
1701,g1,5,2nd,no
1701,g3,5,2nd,no
1701,g6,3,4th,no
1701,g8,7,1st,no
1702,g2,2,3rd,no
1703,g4,3,4th,no
1703,g6,5,2nd,no
1703,g8,7,1st,no
1704,g2,5,2nd,no
1705,g4,0,4th,no
1705,g6,6,2nd,no
1705,g8,5,3rd,no
1706,g1,3,3rd,no
1706,g2,5,2nd,no
1706,g7,3,3rd,no
1706,g8,8,1st,no
1707,g1,4,3rd,no
1707,g3,3,4th,no
1707,g7,6,1st,no
1707,g8,6,1st,no
1708,g2,2,4th,no
1709,g4,3,4th,no
1709,g7,4,3rd,no
1709,g8,6,1st,no
1710,g2,1,4th,no
1711,g4,2,4th,no
1711,g7,6,1st,no
1711,g8,6,1st,no
1712,g1,2,4th,no
1712,g6,7,2nd,no
1712,g7,3,3rd,no
1712,g8,8,1st,no
1713,g2,1,4th,no
1714,g6,4,4th,no
1714,g7,5,2nd,no
1714,g8,6,1st,no
1715,g4,1,4th,no
1716,g2,1,4th,no
1716,g3,6,2nd,no
1716,g9,5,3rd,no
1717,g1,7,1st,no
1717,g2,1,4th,no
1717,g4,5,3rd,no
1717,g9,6,2nd,no
1718,g1,4,2nd,no
1718,g3,11,1st,no
1718,g4,1,4th,no
1718,g9,4,2nd,no
1719,g2,4,3rd,no
1720,g2,2,4th,no
1720,g6,5,3rd,no
1720,g9,6,2nd,no
1721,g1,3,4th,no
1722,g3,3,4th,no
1722,g6,5,2nd,no
1722,g9,7,1st,no
1723,g1,1,4th,no
1725,g4,3,4th,no
1725,g6,5,3rd,no
1725,g9,6,1st,no
1726,g1,2,4th,no
1727,g3,7,1st,no
1727,g7,5,2nd,no
1727,g9,5,2nd,no
1728,g2,1,4th,no
1729,g4,1,4th,no
1729,g7,6,1st,no
1729,g9,6,1st,no
1730,g2,7,1st,no
1730,g4,0,4th,no
1730,g7,6,2nd,no
1730,g9,6,2nd,no
1731,g3,6,1st,no
1731,g4,3,4th,no
1731,g7,6,1st,no
1731,g9,5,3rd,no
1732,g1,6,2nd,no
1732,g6,4,3rd,no
1732,g7,2,4th,no
1732,g9,7,1st,no
1733,g2,2,4th,no
1735,g6,4,3rd,no
1735,g7,3,4th,no
1735,g9,5,2nd,no
1736,g1,5,2nd,no
1736,g2,7,1st,no
1736,g8,5,2nd,no
1736,g9,3,4th,no
1737,g1,4,3rd,no
1737,g3,3,4th,no
1737,g8,5,2nd,no
1737,g9,7,1st,no
1738,g2,3,3rd,no
1739,g4,2,3rd,no
1739,g8,9,1st,no
1739,g9,2,3rd,no
1740,g2,5,2nd,no
1740,g4,6,1st,no
1740,g8,5,2nd,no
1740,g9,3,4th,no
1741,g3,5,2nd,no
1742,g6,3,3rd,no
1742,g8,2,4th,no
1742,g9,4,2nd,no
1743,g2,2,4th,no
1744,g6,3,4th,no
1744,g8,5,3rd,no
1744,g9,6,1st,no
1745,g4,5,2nd,no
1745,g6,3,3rd,no
1745,g8,9,1st,no
1745,g9,3,3rd,no
1746,g1,2,4th,no
1747,g7,4,4th,no
1747,g8,5,1st,no
1747,g9,5,1st,no
1748,g3,5,2nd,no
1748,g7,8,1st,no
1748,g8,5,2nd,no
1748,g9,1,4th,no
1749,g4,3,3rd,no
1749,g7,4,2nd,no
1749,g8,9,1st,no
1749,g9,3,3rd,no
1750,g6,4,3rd,no
1751,g2,4,3rd,no
1751,g3,4,3rd,no
1751,g4,5,2nd,no
1752,g1,6,2nd,no
1752,g2,7,1st,no
1752,g3,3,4th,no
1752,g6,4,3rd,no
1753,g1,5,2nd,no
1755,g3,4,3rd,no
1755,g4,1,4th,no
1755,g6,6,2nd,no
1756,g1,3,3rd,no
1757,g2,3,3rd,no
1757,g4,3,3rd,no
1757,g7,7,1st,no
1758,g1,4,3rd,no
1759,g3,3,3rd,no
1759,g4,2,4th,no
1759,g7,6,2nd,no
1760,g1,5,3rd,no
1760,g2,6,1st,no
1760,g6,2,4th,no
1760,g7,6,1st,no
1761,g1,4,3rd,no
1761,g3,7,1st,no
1761,g6,3,4th,no
1761,g7,5,2nd,no
1762,g2,3,4th,no
1763,g4,5,2nd,no
1763,g6,3,4th,no
1763,g7,4,3rd,no
1764,g2,4,2nd,no
1765,g4,2,4th,no
1765,g6,3,3rd,no
1765,g7,9,1st,no
1766,g1,5,2nd,no
1766,g2,2,4th,no
1766,g3,4,3rd,no
1766,g8,8,1st,no
1767,g1,6,2nd,no
1767,g2,3,3rd,no
1767,g4,3,3rd,no
1767,g8,8,1st,no
1768,g1,6,1st,no
1768,g3,5,2nd,no
1768,g4,4,4th,no
1768,g8,5,2nd,no
1769,g2,1,4th,no
1770,g2,3,3rd,no
1770,g6,3,3rd,no
1770,g8,7,1st,no
1771,g1,7,1st,no
1771,g3,4,2nd,no
1771,g6,4,2nd,no
1771,g8,4,2nd,no
1772,g2,6,2nd,no
1773,g4,2,4th,no
1773,g6,4,3rd,no
1773,g8,5,2nd,no
1774,g2,5,2nd,no
1774,g4,4,4th,no
1774,g6,6,1st,no
1774,g8,5,2nd,no
1775,g3,3,3rd,no
1775,g4,2,4th,no
1775,g6,4,2nd,no
1775,g8,10,1st,no
1776,g1,1,4th,no
1777,g3,4,4th,no
1777,g7,5,2nd,no
1777,g8,6,1st,no
1778,g2,3,4th,no
1779,g4,3,4th,no
1779,g7,5,2nd,no
1779,g8,6,1st,no
1780,g2,3,3rd,no
1781,g4,0,4th,no
1781,g7,5,3rd,no
1781,g8,8,1st,no
1782,g1,3,3rd,no
1783,g6,3,4th,no
1783,g7,5,2nd,no
1783,g8,5,2nd,no
1784,g3,4,3rd,no
1784,g6,1,4th,no
1784,g7,6,2nd,no
1784,g8,9,1st,no
1785,g4,2,4th,no
1786,g2,4,3rd,no
1786,g3,4,3rd,no
1786,g9,6,1st,no
1787,g1,3,4th,no
1789,g3,4,3rd,no
1789,g4,1,4th,no
1789,g9,8,1st,no
1790,g1,4,3rd,no
1790,g2,6,1st,no
1790,g6,5,2nd,no
1790,g9,4,3rd,no
1791,g1,5,2nd,no
1791,g3,7,1st,no
1791,g6,3,4th,no
1791,g9,4,3rd,no
1792,g2,4,2nd,no
1793,g4,2,4th,no
1793,g6,4,3rd,no
1793,g9,6,2nd,no
1794,g2,3,4th,no
1795,g4,3,4th,no
1795,g6,5,2nd,no
1795,g9,5,2nd,no
1796,g1,3,4th,no
1796,g2,5,2nd,no
1796,g7,6,1st,no
1796,g9,5,2nd,no
1797,g1,4,3rd,no
1797,g3,6,1st,no
1797,g7,6,1st,no
1797,g9,3,4th,no
1798,g2,3,4th,no
1799,g4,3,4th,no
1799,g7,7,1st,no
1799,g9,4,3rd,no
1800,g2,6,2nd,no
1801,g4,1,4th,no
1801,g7,8,1st,no
1801,g9,2,3rd,no
1802,g1,5,2nd,no
1802,g6,3,4th,no
1802,g7,7,1st,no
1802,g9,4,3rd,no
1803,g2,3,4th,no
1803,g6,4,2nd,no
1803,g7,8,1st,no
1803,g9,4,2nd,no
1804,g3,3,4th,no
1805,g6,1,4th,no
1805,g7,5,3rd,no
1805,g9,7,1st,no
1806,g1,5,1st,no
1806,g2,4,4th,no
1806,g8,5,1st,no
1806,g9,5,1st,no
1807,g1,6,1st,no
1807,g3,3,4th,no
1807,g8,5,2nd,no
1807,g9,5,2nd,no
1808,g2,3,4th,no
1809,g4,2,4th,no
1809,g8,3,3rd,no
1809,g9,4,2nd,no
1810,g2,4,3rd,no
1810,g4,4,3rd,no
1810,g8,5,2nd,no
1810,g9,6,1st,no
1811,g3,4,3rd,no
1812,g6,4,3rd,no
1812,g8,6,1st,no
1812,g9,4,3rd,no
1813,g2,4,3rd,no
1813,g6,3,4th,no
1813,g8,7,1st,no
1813,g9,6,2nd,no
1814,g3,3,4th,no
1815,g6,2,4th,no
1815,g8,6,2nd,no
1815,g9,7,1st,no
1816,g1,5,3rd,no
1816,g7,6,1st,no
1816,g8,6,1st,no
1816,g9,2,4th,no
1817,g2,6,2nd,no
1817,g7,3,3rd,no
1817,g8,7,1st,no
1817,g9,3,3rd,no
1818,g3,7,1st,no
1818,g7,2,4th,no
1818,g8,6,2nd,no
1818,g9,4,3rd,no
1819,g4,3,4th,no
1819,g7,5,2nd,no
1819,g8,5,2nd,no
1819,g9,6,1st,no
1820,g6,2,4th,no
2941,g2,1,4th,no
2941,g3,8,1st,no
2941,g4,3,3rd,no
2942,g1,8,1st,no
2942,g2,4,3rd,no
2942,g3,5,2nd,no
2942,g6,3,4th,no
2943,g1,5,3rd,no
2943,g2,7,1st,no
2943,g4,2,4th,no
2943,g6,6,2nd,no
2944,g1,5,2nd,no
2946,g2,1,4th,no
2946,g3,4,2nd,no
2946,g7,4,2nd,no
2947,g1,6,1st,no
2947,g2,6,1st,no
2947,g4,1,4th,no
2947,g7,6,1st,no
2948,g1,6,2nd,no
2948,g3,8,1st,no
2948,g4,2,4th,no
2948,g7,3,3rd,no
2949,g2,1,4th,no
2950,g2,2,4th,no
2950,g6,4,3rd,no
2950,g7,8,1st,no
2951,g1,5,3rd,no
2951,g3,6,1st,no
2951,g6,6,1st,no
2951,g7,3,4th,no
2952,g2,1,4th,no
2953,g4,5,2nd,no
2953,g6,4,4th,no
2953,g7,5,2nd,no
2954,g2,4,3rd,no
2955,g4,5,2nd,no
2955,g6,3,4th,no
2955,g7,7,1st,no
2956,g1,5,2nd,no
2956,g2,1,4th,no
2956,g3,4,3rd,no
2956,g8,9,1st,no
2957,g1,5,2nd,no
2957,g2,4,3rd,no
2957,g4,4,3rd,no
2957,g8,6,1st,no
2958,g1,2,4th,no
2959,g3,7,1st,no
2959,g4,2,4th,no
2959,g8,6,2nd,no
2960,g1,4,2nd,no
2961,g3,5,2nd,no
2961,g6,2,4th,no
2961,g8,5,2nd,no
2962,g2,6,2nd,no
2964,g4,4,2nd,no
2964,g6,2,4th,no
2964,g8,3,3rd,no
2965,g3,8,1st,no
2966,g2,2,4th,no
2966,g7,3,3rd,no
2966,g8,5,2nd,no
2967,g1,3,4th,no
2967,g3,4,3rd,no
2967,g7,5,2nd,no
2967,g8,7,1st,no
2968,g2,2,4th,no
2969,g4,1,4th,no
2969,g7,7,1st,no
2969,g8,6,2nd,no
2970,g2,4,3rd,no
2970,g4,4,3rd,no
2970,g7,6,1st,no
2970,g8,5,2nd,no
2971,g3,4,3rd,no
2972,g6,3,4th,no
2972,g7,5,3rd,no
2972,g8,6,1st,no
2973,g2,2,4th,no
2974,g6,4,3rd,no
2974,g7,5,2nd,no
2974,g8,6,1st,no
2975,g4,4,3rd,no
2976,g2,3,4th,no
2976,g3,4,3rd,no
2976,g9,6,1st,no
2977,g1,5,1st,no
2978,g3,6,2nd,no
2978,g4,2,4th,no
2978,g9,4,3rd,no
2979,g2,5,2nd,no
2979,g3,6,1st,no
2979,g4,3,4th,no
2979,g9,5,2nd,no
2980,g1,5,2nd,no
2980,g2,4,3rd,no
2980,g6,4,3rd,no
2980,g9,7,1st,no
2981,g1,4,3rd,no
2981,g3,6,2nd,no
2981,g6,7,1st,no
2981,g9,2,4th,no
2982,g2,5,2nd,no
2982,g3,4,3rd,no
2982,g6,4,3rd,no
2982,g9,7,1st,no
2983,g1,4,3rd,no
2983,g4,5,2nd,no
2983,g6,4,3rd,no
2983,g9,7,1st,no
2984,g2,3,3rd,no
2985,g4,6,1st,no
2985,g6,2,4th,no
2985,g9,6,1st,no
2986,g1,6,1st,no
2986,g2,4,3rd,no
2986,g7,5,2nd,no
2986,g9,4,3rd,no
2987,g1,2,4th,no
2987,g3,8,1st,no
2987,g7,5,2nd,no
2987,g9,4,3rd,no
2988,g2,3,3rd,no
2989,g4,4,4th,no
2989,g7,5,2nd,no
2989,g9,6,1st,no
2990,g2,0,4th,no
2991,g4,5,2nd,no
2991,g7,2,4th,no
2991,g9,4,3rd,no
2992,g1,6,1st,no
2992,g6,4,3rd,no
2992,g7,3,4th,no
2992,g9,6,1st,no
2993,g2,3,3rd,no
2994,g6,4,3rd,no
2994,g7,6,1st,no
2994,g9,6,1st,no
2995,g4,4,3rd,no
2996,g2,4,3rd,no
2996,g8,6,1st,no
2996,g9,3,4th,no
2997,g1,3,3rd,no
2997,g3,7,1st,no
2997,g8,7,1st,no
2997,g9,3,3rd,no
2998,g2,2,4th,no
2999,g4,1,4th,no
2999,g8,10,1st,no
2999,g9,3,3rd,no
3000,g2,4,2nd,no
3000,g4,4,2nd,no
3000,g8,7,1st,no
3000,g9,4,2nd,no
3001,g3,5,2nd,no
3001,g4,6,1st,no
3001,g8,4,3rd,no
3001,g9,4,3rd,no
3002,g1,6,1st,no
3002,g6,5,2nd,no
3002,g8,5,2nd,no
3002,g9,4,4th,no
3003,g2,4,3rd,no
3003,g6,4,3rd,no
3003,g8,6,1st,no
3003,g9,6,1st,no
3004,g3,4,3rd,no
3005,g6,5,2nd,no
3005,g8,5,2nd,no
3005,g9,2,4th,no
3006,g1,2,3rd,no
3007,g7,3,3rd,no
3007,g8,6,2nd,no
3007,g9,3,3rd,no
3008,g3,4,3rd,no
3008,g7,3,4th,no
3008,g8,6,2nd,no
3008,g9,7,1st,no
3009,g4,2,4th,no
3009,g7,5,2nd,no
3009,g8,7,1st,no
3009,g9,5,2nd,no
3010,g6,3,4th,no
3011,g2,2,4th,no
3011,g3,7,1st,no
3011,g4,3,3rd,no
3012,g1,6,1st,no
3012,g2,6,1st,no
3012,g3,5,3rd,no
3012,g6,3,4th,no
3013,g1,4,4th,no
3014,g3,4,2nd,no
3014,g4,4,2nd,no
3014,g6,4,2nd,no
3015,g2,3,3rd,no
3016,g2,1,4th,no
3016,g3,4,3rd,no
3016,g7,7,1st,no
3017,g1,5,1st,no
3017,g2,5,1st,no
3017,g4,4,4th,no
3017,g7,5,1st,no
3018,g1,3,4th,no
3019,g3,4,3rd,no
3019,g4,2,4th,no
3019,g7,5,2nd,no
3020,g1,6,1st,no
3020,g2,5,3rd,no
3020,g6,2,4th,no
3020,g7,6,1st,no
3021,g1,7,1st,no
3021,g3,4,3rd,no
3021,g6,3,4th,no
3021,g7,5,2nd,no
3022,g2,6,1st,no
3022,g3,4,3rd,no
3022,g6,4,3rd,no
3022,g7,6,1st,no
3023,g1,4,2nd,no
3024,g4,4,3rd,no
3024,g6,4,3rd,no
3024,g7,5,2nd,no
3025,g3,7,1st,no
3026,g2,0,4th,no
3026,g3,1,3rd,no
3026,g8,9,1st,no
3027,g1,3,3rd,no
3028,g3,4,3rd,no
3028,g4,3,4th,no
3028,g8,7,1st,no
3029,g2,6,1st,no
3029,g3,6,1st,no
3029,g4,3,4th,no
3029,g8,5,3rd,no
3030,g1,5,2nd,no
3030,g2,3,3rd,no
3030,g6,3,3rd,no
3030,g8,8,1st,no
3031,g1,5,2nd,no
3032,g3,5,3rd,no
3032,g6,1,4th,no
3032,g8,7,1st,no
3033,g1,4,2nd,no
3034,g4,4,3rd,no
3034,g6,3,4th,no
3034,g8,6,2nd,no
3035,g3,5,2nd,no
3035,g4,1,4th,no
3035,g6,5,2nd,no
3035,g8,8,1st,no
3036,g1,3,4th,no
3036,g2,4,3rd,no
3036,g7,6,1st,no
3036,g8,6,1st,no
3037,g1,1,4th,no
3038,g3,3,3rd,no
3038,g7,5,2nd,no
3038,g8,8,1st,no
3039,g1,1,4th,no
3040,g4,4,3rd,no
3040,g7,5,2nd,no
3040,g8,4,3rd,no
3041,g3,5,2nd,no
3041,g4,2,4th,no
3041,g7,5,2nd,no
3041,g8,7,1st,no
3042,g1,4,2nd,no
3043,g6,2,4th,no
3043,g7,6,2nd,no
3043,g8,5,3rd,no
3044,g3,7,1st,no
3044,g6,3,4th,no
3044,g7,5,2nd,no
3044,g8,5,2nd,no
3045,g4,2,4th,no
3045,g6,3,3rd,no
3045,g7,5,2nd,no
3045,g8,9,1st,no
3046,g1,3,4th,no
3046,g2,5,2nd,no
3046,g3,4,3rd,no
3046,g9,7,1st,no
3047,g1,4,4th,no
3048,g3,5,3rd,no
3048,g4,1,4th,no
3048,g9,7,1st,no
3049,g2,4,2nd,no
3050,g2,3,3rd,no
3050,g6,3,3rd,no
3050,g9,6,2nd,no
3051,g1,3,4th,no
3052,g3,4,3rd,no
3052,g6,4,3rd,no
3052,g9,6,1st,no
3053,g1,3,3rd,no
3054,g4,7,1st,no
