game,name,score,place,timeout
105,g8,5,3rd,no
107,g1,6,1st,no
107,g2,4,3rd,no
107,g4,3,4th,no
107,g9,6,1st,no
110,g1,4,2nd,no
110,g2,3,4th,no
110,g6,4,2nd,no
110,g9,8,1st,no
113,g1,2,3rd,no
113,g4,9,1st,no
113,g6,2,3rd,no
113,g9,6,2nd,no
114,g2,5,2nd,no
114,g4,2,4th,no
114,g6,5,2nd,no
114,g9,7,1st,no
115,g3,4,2nd,no
115,g4,2,4th,no
115,g6,4,2nd,no
115,g9,9,1st,no
116,g1,6,1st,no
116,g2,4,3rd,no
116,g7,5,2nd,no
116,g9,4,3rd,no
119,g1,3,4th,no
119,g4,4,3rd,no
119,g7,6,1st,no
119,g9,6,1st,no
120,g2,3,3rd,no
120,g4,2,4th,no
120,g7,8,1st,no
120,g9,6,2nd,no
121,g3,7,1st,no
121,g4,1,4th,no
121,g7,6,2nd,no
121,g9,6,2nd,no
122,g1,5,2nd,no
122,g6,4,3rd,no
122,g7,6,1st,no
122,g9,4,3rd,no
123,g2,1,4th,no
123,g6,6,1st,no
123,g7,6,1st,no
123,g9,6,1st,no
124,g3,8,1st,no
124,g6,2,4th,no
124,g7,5,2nd,no
124,g9,4,3rd,no
125,g4,2,4th,no
125,g6,3,3rd,no
125,g7,8,1st,no
125,g9,6,2nd,no
126,g1,3,4th,no
126,g2,5,2nd,no
126,g8,5,2nd,no
126,g9,6,1st,no
129,g1,6,1st,no
129,g4,2,4th,no
129,g8,5,3rd,no
129,g9,6,1st,no
130,g2,4,3rd,no
130,g4,2,4th,no
130,g8,6,2nd,no
130,g9,7,1st,no
131,g3,4,3rd,no
131,g4,3,4th,no
131,g8,5,2nd,no
131,g9,7,1st,no
132,g1,7,1st,no
132,g6,3,4th,no
132,g8,4,3rd,no
132,g9,6,2nd,no
133,g2,6,2nd,no
133,g6,2,4th,no
133,g8,4,3rd,no
133,g9,7,1st,no
134,g3,6,2nd,no
134,g6,2,4th,no
134,g8,3,3rd,no
134,g9,8,1st,no
135,g4,3,3rd,no
135,g6,3,3rd,no
135,g8,6,2nd,no
135,g9,8,1st,no
136,g1,4,2nd,no
136,g7,8,1st,no
136,g8,3,4th,no
136,g9,4,2nd,no
137,g2,1,4th,no
137,g7,7,1st,no
137,g8,5,3rd,no
137,g9,6,2nd,no
138,g3,4,3rd,no
138,g7,6,2nd,no
138,g8,2,4th,no
138,g9,7,1st,no
139,g4,2,4th,no
139,g7,5,2nd,no
139,g8,7,1st,no
139,g9,5,2nd,no
