421,g3,5,3rd,no
422,g3,5,2nd,no
424,g3,5,2nd,no
425,g3,6,1st,no
426,g3,7,1st,no
428,g3,5,2nd,no
429,g3,5,2nd,no
431,g3,10,1st,no
432,g3,6,2nd,no
435,g3,4,3rd,no
436,g3,3,3rd,no
438,g3,6,2nd,no
439,g3,6,2nd,no
441,g3,3,4th,no
442,g3,7,2nd,no
445,g3,5,2nd,no
447,g3,4,3rd,no
448,g3,5,2nd,no
451,g3,6,2nd,no
454,g3,5,3rd,no
456,g3,3,3rd,no
458,g3,8,1st,no
459,g3,9,1st,no
461,g3,9,1st,no
462,g3,5,2nd,no
465,g3,8,1st,no
467,g3,10,1st,no
468,g3,6,1st,no
471,g3,2,4th,no
474,g3,5,1st,no
477,g3,4,3rd,no
478,g3,7,1st,no
481,g3,5,1st,no
484,g3,2,4th,no
488,g3,5,2nd,no
491,g3,5,1st,no
492,g3,4,3rd,no
494,g3,5,2nd,no
495,g3,4,3rd,no
496,g3,3,3rd,no
498,g3,7,1st,no
499,g3,4,3rd,no
501,g3,4,3rd,no
502,g3,4,3rd,no
505,g3,5,2nd,no
506,g3,3,4th,no
508,g3,6,2nd,no
509,g3,4,2nd,no
511,g3,8,1st,no
512,g3,5,3rd,no
515,g3,5,2nd,no
517,g3,5,2nd,no
518,g3,2,4th,no
521,g3,6,1st,no
524,g3,3,3rd,no
526,g3,2,4th,no
528,g3,5,2nd,no
529,g3,5,2nd,no
531,g3,6,1st,no
532,g3,3,4th,no
535,g3,4,2nd,no
537,g3,5,2nd,no
538,g3,3,4th,no
541,g3,4,3rd,no
544,g3,6,1st,no
547,g3,6,2nd,no
548,g3,4,2nd,no
551,g3,5,2nd,no
554,g3,6,2nd,no
558,g3,2,4th,no
561,g3,18,3rd,no
562,g3,32,1st,no
564,g3,40,2nd,no
565,g3,56,1st,no
566,g3,25,3rd,no
568,g3,34,1st,no
569,g3,26,3rd,no
571,g3,38,1st,no
572,g3,20,4th,no
575,g3,30,2nd,no
576,g3,39,1st,no
578,g3,35,2nd,no
579,g3,37,1st,no
581,g3,26,2nd,no
582,g3,33,1st,no
585,g3,55,1st,no
587,g3,32,2nd,no
588,g3,26,1st,no
591,g3,33,1st,no
594,g3,39,1st,no
596,g3,17,4th,no
598,g3,31,2nd,no
599,g3,34,1st,no
601,g3,43,1st,no
602,g3,39,1st,no
605,g3,37,1st,no
607,g3,38,1st,no
608,g3,22,3rd,no
611,g3,42,1st,no
614,g3,28,1st,no
617,g3,50,1st,no
618,g3,46,1st,no
621,g3,38,1st,no
624,g3,36,1st,no
628,g3,40,1st,no
631,g3,23,3rd,no
632,g3,29,2nd,no
634,g3,28,2nd,no
635,g3,40,1st,no
636,g3,28,1st,no
638,g3,25,2nd,no
639,g3,32,1st,no
641,g3,29,1st,no
642,g3,22,3rd,no
645,g3,27,2nd,no
646,g3,24,2nd,no
