game,name,score,place,timeout
423,g2,7,1st,no
423,g4,1,4th,no
423,g6,7,1st,no
424,g1,7,1st,no
425,g3,6,1st,no
425,g4,5,3rd,no
425,g6,6,1st,no
426,g1,5,2nd,no
429,g3,5,2nd,no
429,g4,6,1st,no
429,g7,5,2nd,no
430,g1,5,2nd,no
432,g3,6,2nd,no
432,g6,5,3rd,no
432,g7,7,1st,no
433,g1,3,3rd,no
433,g4,3,3rd,no
433,g6,5,2nd,no
433,g7,9,1st,no
434,g2,6,2nd,no
435,g4,3,4th,no
435,g6,6,2nd,no
435,g7,7,1st,no
436,g1,8,1st,no
437,g2,5,2nd,no
437,g4,4,3rd,no
437,g8,7,1st,no
438,g1,5,3rd,no
439,g3,6,2nd,no
439,g4,4,3rd,no
439,g8,9,1st,no
440,g1,5,2nd,no
442,g3,7,2nd,no
442,g6,1,4th,no
442,g8,9,1st,no
443,g1,7,1st,no
448,g3,5,2nd,no
448,g7,9,1st,no
448,g8,5,2nd,no
449,g1,4,2nd,no
450,g4,2,4th,no
450,g7,7,1st,no
450,g8,7,1st,no
451,g3,6,2nd,no
453,g6,5,2nd,no
453,g7,9,1st,no
453,g8,4,3rd,no
454,g3,5,3rd,no
455,g6,3,3rd,no
455,g7,9,1st,no
455,g8,7,2nd,no
456,g1,8,1st,no
459,g3,9,1st,no
459,g4,3,3rd,no
459,g9,6,2nd,no
460,g1,4,3rd,no
460,g2,5,2nd,no
460,g6,3,4th,no
460,g9,8,1st,no
461,g1,5,2nd,no
462,g3,5,2nd,no
462,g6,1,4th,no
462,g9,9,1st,no
463,g1,9,1st,no
464,g4,2,4th,no
464,g6,8,1st,no
464,g9,7,2nd,no
465,g3,8,1st,no
466,g2,5,2nd,no
466,g7,4,3rd,no
466,g9,7,1st,no
467,g1,6,2nd,no
468,g3,6,1st,no
468,g7,6,1st,no
468,g9,6,1st,no
469,g1,4,3rd,no
471,g4,5,2nd,no
471,g7,7,1st,no
471,g9,5,2nd,no
472,g1,5,2nd,no
473,g6,4,3rd,no
473,g7,6,2nd,no
473,g9,7,1st,no
474,g3,5,1st,no
478,g3,7,1st,no
478,g8,7,1st,no
478,g9,4,3rd,no
479,g1,5,2nd,no
482,g6,8,1st,no
482,g8,6,2nd,no
482,g9,2,4th,no
483,g2,7,1st,no
485,g6,6,1st,no
485,g8,6,1st,no
485,g9,6,1st,no
486,g1,4,3rd,no
487,g7,8,1st,no
487,g8,5,2nd,no
487,g9,3,3rd,no
488,g3,5,2nd,no
489,g7,7,1st,no
489,g8,7,1st,no
489,g9,4,3rd,no
490,g6,6,1st,no
491,g2,5,1st,no
491,g3,5,1st,no
491,g4,4,4th,no
492,g1,7,1st,no
493,g2,6,2nd,no
493,g4,3,4th,no
493,g6,4,3rd,no
494,g1,8,1st,no
495,g3,4,3rd,no
495,g4,5,2nd,no
495,g6,3,4th,no
496,g1,10,1st,no
498,g3,7,1st,no
498,g4,3,4th,no
498,g7,6,2nd,no
499,g2,5,2nd,no
509,g3,4,2nd,no
509,g4,3,3rd,no
509,g8,9,1st,no
510,g1,6,1st,no
511,g3,8,1st,no
511,g6,1,4th,no
511,g8,7,2nd,no
512,g2,6,2nd,no
512,g3,5,3rd,no
512,g6,2,4th,no
512,g8,7,1st,no
513,g1,7,2nd,no
518,g3,2,4th,no
518,g7,8,1st,no
518,g8,6,2nd,no
519,g1,7,1st,no
520,g4,3,4th,no
520,g7,8,1st,no
520,g8,4,2nd,no
521,g3,6,1st,no
522,g6,3,4th,no
522,g7,6,2nd,no
522,g8,7,1st,no
523,g2,6,1st,no
525,g6,6,2nd,no
525,g7,3,4th,no
525,g8,7,1st,no
526,g1,5,3rd,no
527,g2,8,1st,no
527,g4,3,3rd,no
527,g9,6,2nd,no
528,g1,4,3rd,no
528,g3,5,2nd,no
528,g4,4,3rd,no
528,g9,6,1st,no
529,g2,7,1st,no
531,g3,6,1st,no
531,g6,4,3rd,no
531,g9,6,1st,no
532,g2,6,1st,no
535,g4,4,2nd,no
535,g6,3,4th,no
535,g9,9,1st,no
536,g1,5,2nd,no
537,g3,5,2nd,no
537,g7,6,1st,no
537,g9,4,4th,no
538,g2,6,1st,no
539,g4,7,2nd,no
539,g7,8,1st,no
539,g9,1,4th,no
540,g2,5,2nd,no
541,g4,2,4th,no
541,g7,7,1st,no
541,g9,7,1st,no
542,g1,5,3rd,no
542,g6,3,4th,no
542,g7,6,1st,no
542,g9,6,1st,no
543,g2,6,1st,no
546,g2,5,3rd,no
546,g8,7,1st,no
546,g9,6,2nd,no
547,g1,4,3rd,no
547,g3,6,2nd,no
547,g8,7,1st,no
547,g9,2,4th,no
548,g2,7,1st,no
550,g4,4,3rd,no
550,g8,7,1st,no
550,g9,5,2nd,no
551,g3,5,2nd,no
553,g6,3,3rd,no
553,g8,9,1st,no
553,g9,5,2nd,no
554,g3,6,2nd,no
559,g7,4,3rd,no
559,g8,7,1st,no
559,g9,7,1st,no
560,g6,3,4th,no
560,g7,8,1st,no
560,g8,4,2nd,no
560,g9,4,2nd,no
561,g1,35,1st,no
561,g2,34,2nd,no
561,g3,18,3rd,no
561,g4,13,4th,no
562,g1,18,4th,no
564,g3,40,2nd,no
564,g4,3,4th,no
564,g6,10,3rd,no
565,g2,26,2nd,no
566,g2,30,1st,no
566,g3,25,3rd,no
566,g7,15,4th,no
567,g1,20,3rd,no
569,g3,26,3rd,no
569,g4,4,4th,no
569,g7,36,1st,no
570,g1,22,3rd,no
570,g2,32,1st,no
570,g6,25,2nd,no
570,g7,22,3rd,no
571,g1,21,3rd,no
574,g4,4,4th,no
574,g6,18,3rd,no
574,g7,31,2nd,no
575,g3,30,2nd,no
576,g2,31,2nd,no
576,g3,39,1st,no
576,g8,0,4th,no
577,g1,20,3rd,no
577,g2,40,1st,no
577,g4,14,4th,no
577,g8,26,2nd,no
578,g1,21,3rd,no
579,g3,37,1st,no
579,g4,4,4th,no
579,g8,23,3rd,no
580,g1,10,4th,no
581,g3,26,2nd,no
581,g6,18,4th,no
581,g8,31,1st,no
582,g2,26,2nd,no
584,g4,12,3rd,no
584,g6,12,3rd,no
584,g8,22,2nd,no
585,g3,55,1st,no
585,g4,18,2nd,no
585,g6,18,2nd,no
585,g8,10,4th,no
586,g1,15,3rd,no
588,g3,26,1st,no
588,g7,26,1st,no
588,g8,24,4th,no
589,g1,19,2nd,no
591,g4,8,4th,no
591,g7,27,3rd,no
591,g8,32,2nd,no
592,g1,12,4th,no
594,g6,25,2nd,no
594,g7,25,2nd,no
594,g8,11,4th,no
595,g4,17,4th,no
598,g3,31,2nd,no
598,g4,5,4th,no
598,g9,34,1st,no
599,g2,30,3rd,no
599,g3,34,1st,no
599,g4,3,4th,no
599,g9,33,2nd,no
600,g1,26,2nd,no
600,g2,33,1st,no
600,g6,24,3rd,no
600,g9,17,4th,no
601,g1,27,2nd,no
601,g3,43,1st,no
601,g6,13,4th,no
601,g9,17,3rd,no
602,g2,17,3rd,no
603,g4,6,4th,no
603,g6,17,3rd,no
603,g9,26,2nd,no
604,g2,45,1st,no
604,g4,4,4th,no
604,g6,17,3rd,no
604,g9,34,2nd,no
605,g3,37,1st,no
605,g4,15,4th,no
605,g6,24,3rd,no
605,g9,25,2nd,no
606,g1,29,1st,no
606,g2,29,1st,no
