game,name,score,place,timeout
562,g2,25,3rd,no
562,g3,32,1st,no
562,g6,26,2nd,no
563,g1,36,2nd,no
563,g2,42,1st,no
563,g4,1,4th,no
563,g6,22,3rd,no
564,g1,48,1st,no
565,g3,56,1st,no
565,g4,3,4th,no
565,g6,15,3rd,no
566,g1,30,1st,no
567,g2,36,1st,no
567,g4,11,4th,no
567,g7,34,2nd,no
568,g1,32,2nd,no
568,g3,34,1st,no
568,g4,4,4th,no
568,g7,30,3rd,no
569,g2,34,2nd,no
571,g3,38,1st,no
571,g6,27,2nd,no
571,g7,14,4th,no
572,g2,30,1st,no
572,g3,20,4th,no
572,g6,29,2nd,no
572,g7,21,3rd,no
573,g1,40,1st,no
573,g4,12,4th,no
573,g6,26,2nd,no
573,g7,23,3rd,no
574,g2,47,1st,no
575,g4,15,4th,no
575,g6,32,1st,no
575,g7,24,3rd,no
576,g1,31,2nd,no
578,g3,35,2nd,no
578,g4,7,4th,no
578,g8,37,1st,no
579,g2,37,1st,no
580,g2,42,1st,no
580,g6,25,2nd,no
580,g8,23,3rd,no
581,g1,26,2nd,no
582,g3,33,1st,no
582,g6,26,2nd,no
582,g8,16,4th,no
583,g1,35,1st,no
583,g4,14,4th,no
583,g6,26,2nd,no
583,g8,26,2nd,no
584,g2,54,1st,no
586,g2,49,1st,no
586,g7,10,4th,no
586,g8,26,2nd,no
587,g1,19,3rd,no
587,g3,32,2nd,no
587,g7,9,4th,no
587,g8,40,1st,no
588,g2,25,3rd,no
589,g4,19,2nd,no
589,g7,1,4th,no
589,g8,61,1st,no
590,g2,23,2nd,no
590,g4,33,1st,no
590,g7,22,4th,no
590,g8,23,2nd,no
591,g3,33,1st,no
592,g6,32,2nd,no
592,g7,23,3rd,no
592,g8,34,1st,no
593,g2,28,1st,no
593,g6,26,2nd,no
593,g7,22,4th,no
593,g8,25,3rd,no
594,g3,39,1st,no
595,g6,44,1st,no
595,g7,22,2nd,no
595,g8,18,3rd,no
596,g1,25,3rd,no
596,g2,27,2nd,no
596,g3,17,4th,no
596,g9,31,1st,no
597,g1,28,3rd,no
597,g2,41,1st,no
597,g4,2,4th,no
597,g9,30,2nd,no
598,g1,30,3rd,no
602,g3,39,1st,no
602,g6,28,2nd,no
602,g9,17,3rd,no
603,g1,52,1st,no
607,g3,38,1st,no
607,g7,15,4th,no
607,g9,31,2nd,no
608,g2,19,4th,no
608,g3,22,3rd,no
608,g7,31,1st,no
608,g9,28,2nd,no
609,g1,21,2nd,no
609,g4,13,4th,no
609,g7,21,2nd,no
609,g9,46,1st,no
610,g2,36,1st,no
610,g4,7,4th,no
610,g7,30,2nd,no
610,g9,28,3rd,no
611,g3,42,1st,no
612,g6,26,2nd,no
612,g7,17,4th,no
612,g9,33,1st,no
613,g2,26,2nd,no
613,g6,34,1st,no
613,g7,17,4th,no
613,g9,24,3rd,no
614,g3,28,1st,no
615,g6,29,1st,no
615,g7,22,4th,no
615,g9,25,2nd,no
616,g1,40,1st,no
618,g3,46,1st,no
618,g8,0,4th,no
618,g9,24,3rd,no
619,g1,34,2nd,no
619,g4,11,4th,no
619,g8,36,1st,no
619,g9,19,3rd,no
620,g2,38,1st,no
622,g6,24,3rd,no
622,g8,25,2nd,no
622,g9,23,4th,no
623,g2,30,1st,no
623,g6,22,4th,no
623,g8,23,3rd,no
623,g9,25,2nd,no
624,g3,36,1st,no
625,g6,34,1st,no
625,g8,30,2nd,no
625,g9,15,4th,no
626,g1,30,2nd,no
627,g7,10,4th,no
627,g8,60,1st,no
627,g9,13,3rd,no
628,g3,40,1st,no
629,g7,38,1st,no
629,g8,28,2nd,no
629,g9,16,4th,no
630,g6,35,1st,no
633,g2,41,1st,no
633,g4,12,4th,no
633,g6,22,3rd,no
634,g1,37,1st,no
637,g2,28,2nd,no
637,g4,12,4th,no
637,g7,34,1st,no
638,g1,38,1st,no
639,g3,32,1st,no
639,g4,11,4th,no
639,g7,26,3rd,no
640,g1,33,1st,no
641,g3,29,1st,no
641,g6,22,4th,no
641,g7,25,2nd,no
642,g2,29,1st,no
643,g4,24,3rd,no
643,g6,22,4th,no
643,g7,26,2nd,no
644,g2,34,1st,no
645,g4,21,3rd,no
645,g6,19,4th,no
645,g7,33,1st,no
646,g1,45,1st,no
647,g2,28,1st,no
647,g4,22,4th,no
647,g8,24,3rd,no
648,g1,45,1st,no
649,g3,41,1st,no
649,g4,16,3rd,no
649,g8,11,4th,no
650,g1,40,1st,no
651,g3,24,3rd,no
651,g6,24,3rd,no
651,g8,27,1st,no
652,g2,34,1st,no
653,g4,14,4th,no
653,g6,34,1st,no
653,g8,33,2nd,no
654,g2,21,3rd,no
654,g4,28,2nd,no
654,g6,31,1st,no
654,g8,21,3rd,no
655,g3,40,1st,no
656,g2,27,1st,no
656,g7,27,1st,no
656,g8,27,1st,no
657,g1,33,1st,no
658,g3,30,2nd,no
658,g7,34,1st,no
658,g8,19,3rd,no
659,g1,36,1st,no
660,g4,25,2nd,no
660,g7,29,1st,no
660,g8,24,3rd,no
661,g3,44,1st,no
665,g6,27,2nd,no
665,g7,33,1st,no
665,g8,22,3rd,no
666,g1,30,2nd,no
667,g2,31,1st,no
667,g4,15,4th,no
667,g9,24,3rd,no
668,g1,36,1st,no
670,g2,26,2nd,no
670,g6,22,3rd,no
670,g9,33,1st,no
671,g1,26,1st,no
672,g3,34,1st,no
672,g6,20,3rd,no
672,g9,33,2nd,no
673,g1,25,2nd,no
673,g4,18,4th,no
673,g6,19,3rd,no
673,g9,39,1st,no
674,g2,33,1st,no
674,g4,12,4th,no
674,g6,23,3rd,no
674,g9,33,1st,no
675,g3,36,2nd,no
678,g3,30,2nd,no
678,g7,18,3rd,no
678,g9,38,1st,no
679,g1,35,1st,no
681,g4,11,4th,no
681,g7,20,3rd,no
681,g9,44,1st,no
682,g1,30,1st,no
684,g6,20,3rd,no
684,g7,29,2nd,no
684,g9,32,1st,no
685,g4,24,3rd,no
685,g6,26,2nd,no
685,g7,18,4th,no
685,g9,32,1st,no
686,g1,32,1st,no
688,g3,22,4th,no
688,g8,28,1st,no
688,g9,27,2nd,no
689,g1,25,2nd,no
689,g4,19,4th,no
689,g8,24,3rd,no
689,g9,33,1st,no
690,g2,37,1st,no
692,g6,20,3rd,no
692,g8,29,2nd,no
692,g9,32,1st,no
693,g2,29,2nd,no
695,g6,27,2nd,no
695,g8,17,4th,no
695,g9,39,1st,no
696,g1,39,1st,no
699,g7,33,1st,no
699,g8,23,3rd,no
699,g9,31,2nd,no
700,g6,22,3rd,no
700,g7,20,4th,no
700,g8,27,2nd,no
700,g9,31,1st,no
701,g1,170,1st,no
701,g2,93,3rd,no
701,g3,148,2nd,no
701,g4,88,4th,no
702,g1,94,3rd,no
704,g3,204,1st,no
704,g4,3,4th,no
704,g6,100,3rd,no
705,g2,139,2nd,no
705,g3,229,1st,no
705,g4,15,4th,no
705,g6,117,3rd,no
706,g1,118,3rd,no
708,g3,230,1st,no
708,g4,90,3rd,no
708,g7,2,4th,no
709,g2,153,2nd,no
709,g3,279,1st,no
709,g4,58,3rd,no
709,g7,10,4th,no
710,g1,147,2nd,no
711,g3,296,1st,no
711,g6,37,3rd,no
711,g7,1,4th,no
712,g2,132,2nd,no
714,g4,155,2nd,no
714,g6,127,3rd,no
714,g7,1,4th,no
715,g3,214,1st,no
715,g4,139,2nd,no
715,g6,133,3rd,no
715,g7,14,4th,no
716,g1,141,1st,no
716,g2,100,4th,no
716,g3,127,3rd,no
716,g8,131,2nd,no
717,g1,117,3rd,no
718,g3,203,1st,no
718,g4,40,4th,no
718,g8,128,2nd,no
719,g2,119,2nd,no
719,g3,251,1st,no
719,g4,21,4th,no
719,g8,108,3rd,no
720,g1,87,4th,no
721,g3,123,2nd,no
721,g6,138,1st,no
721,g8,120,3rd,no
722,g2,77,4th,no
723,g4,48,4th,no
723,g6,82,3rd,no
723,g8,205,1st,no
724,g2,164,2nd,no
724,g4,83,3rd,no
724,g6,76,4th,no
724,g8,177,1st,no
725,g3,157,1st,no
725,g4,128,3rd,no
725,g6,69,4th,no
725,g8,146,2nd,no
726,g1,80,2nd,no
726,g2,33,4th,no
726,g7,59,3rd,no
726,g8,327,1st,no
727,g1,35,3rd,no
731,g4,52,4th,no
731,g7,64,3rd,no
731,g8,187,2nd,no
732,g1,52,4th,no
734,g6,95,3rd,no
734,g7,4,4th,no
734,g8,130,2nd,no
735,g4,90,3rd,no
737,g2,179,1st,no
737,g4,22,4th,no
737,g9,142,3rd,no
738,g1,135,3rd,no
739,g3,167,2nd,no
739,g4,3,4th,no
739,g9,159,3rd,no
740,g1,144,2nd,no
740,g2,139,3rd,no
740,g6,152,1st,no
740,g9,65,4th,no
741,g1,58,4th,no
744,g4,27,4th,no
744,g6,110,3rd,no
744,g9,158,2nd,no
745,g3,181,1st,no
745,g4,28,4th,no
745,g6,112,3rd,no
745,g9,179,2nd,no
746,g1,111,3rd,no
747,g3,188,1st,no
747,g7,15,4th,no
747,g9,144,3rd,no
